Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
UI-5281SE-C-HQ Rev.4: AB02133UI-5281SE-M-GL Rev.4: AB02134,UI-5281SE Rev. 4,SE,GigE,CMOS,Sony,23.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-5281SE-C-HQ Rev.4UI-5281SE-M-GL Rev.4
GV-5281SE-C-HQ: AB02157GV-5281SE-M-GL: AB02158,GV-5281SE,SE,GigE,CMOS,Sony,22.0 fps,2448 x 2048,8.445 mm x 7.065 mm,Global Shutter,"2/3""",5.01 MPix,3.5 µm,No,GV-5281SE-C-HQGV-5281SE-M-GL
UI-5282SE-C Rev.4: AB02135UI-5282SE-M Rev.4: AB02136,UI-5282SE Rev. 4,SE,GigE,CMOS,Sony,23.0 fps,2456 x 2054,8.473 mm x 7.086 mm,Global Shutter,"2/3""",5.04 MPix,3.5 µm,No,UI-5282SE-C Rev.4UI-5282SE-M Rev.4
GV-5282SE-C: AB02159GV-5282SE-M: AB02160,GV-5282SE,SE,GigE,CMOS,Sony,22.0 fps,2448 x 2048,8.445 mm x 7.065 mm,Global Shutter,"2/3""",5.01 MPix,3.5 µm,No,GV-5282SE-CGV-5282SE-M
UI-5290FA-C-HQ: AB02230UI-5290FA-M-GL: AB02231,UI-5290FA,FA,GigE,CMOS,Sony,12.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,IP65/67,UI-5290FA-C-HQUI-5290FA-M-GL
GV-5290FA-C-HQ: AB02240GV-5290FA-M-GL: AB02241,GV-5290FA,FA,GigE,CMOS,Sony,13.0 fps,4096 x 2160,14.131 mm x 7.452 mm,Global Shutter,"1""",8.85 MPix,3.5 µm,IP65/67,GV-5290FA-C-HQGV-5290FA-M-GL
UI-5290SE-C-HQ Rev.4: AB02264UI-5290SE-M-GL Rev.4: AB02265,UI-5290SE Rev. 4,SE,GigE,CMOS,Sony,12.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,IP30,UI-5290SE-C-HQ Rev.4UI-5290SE-M-GL Rev.4
GV-5290SE-C-HQ: AB02289GV-5290SE-M-GL: AB02290,GV-5290SE,SE,GigE,CMOS,Sony,12.0 fps,4096 x 2160,14.131 mm x 7.452 mm,Global Shutter,"1""",8.85 MPix,3.5 µm,IP30,GV-5290SE-C-HQGV-5290SE-M-GL
UI-5291SE-C-HQ Rev.4: AB02266UI-5291SE-M-GL Rev.4: AB02267,UI-5291SE Rev. 4,SE,GigE,CMOS,Sony,12.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,No,UI-5291SE-C-HQ Rev.4UI-5291SE-M-GL Rev.4
GV-5291SE-C-HQ: AB02291GV-5291SE-M-GL: AB02292,GV-5291SE,SE,GigE,CMOS,Sony,12.0 fps,4096 x 2160,14.131 mm x 7.452 mm,Global Shutter,"1""",8.85 MPix,3.5 µm,No,GV-5291SE-C-HQGV-5291SE-M-GL
UI-5292SE-C Rev.4: AB02268UI-5292SE-M Rev.4: AB02269,UI-5292SE Rev. 4,SE,GigE,CMOS,Sony,12.0 fps,4104 x 2174,14.158 mm x 7.500 mm,Global Shutter,"1""",8.92 MPix,3.5 µm,No,UI-5292SE-C Rev.4UI-5292SE-M Rev.4
GV-5292SE-C: AB02293GV-5292SE-M: AB02294,GV-5292SE,SE,GigE,CMOS,Sony,12.0 fps,4096 x 2160,14.131 mm x 7.452 mm,Global Shutter,"1""",8.85 MPix,3.5 µm,No,GV-5292SE-CGV-5292SE-M
UI-5360CP-C-HQ: AB00477UI-5360CP-M-GL: AB00476UI-5360CP-NIR-GL: AB00480,UI-5360CP,CP,GigE,CMOS,CMOSIS,36.0 fps,2048 x 1088,11.264 mm x 5.984 mm,Global Shutter,"2/3""",2.23 MPix,5.5 µm,IP30,UI-5360CP-C-HQUI-5360CP-M-GLUI-5360CP-NIR-GL
UI-5370CP-C-HQ Rev.2: AB00923UI-5370CP-M-GL Rev.2: AB00922,UI-5370CP Rev. 2,CP,GigE,CMOS,CMOSIS,28.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,IP30,UI-5370CP-C-HQ Rev.2UI-5370CP-M-GL Rev.2
AB00304,UI-5460RE PoE,RE,GigE,CMOS,ON Semiconductor,15.7 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP65/67,UI-5460RE-C-HQ PoE Rev.2
AB.0010.1.37202.24,UI-5460SE,SE,GigE,CMOS,ON Semiconductor,15.7 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP30,UI-5460SE-C-HQ Rev.2
AB02044,UI-5480CP Rev. 2,CP,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-5480CP-M-GL Rev.2
AB02031,GV-5480CP,CP,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,GV-5480CP-M-GL
AB02313,UI-5480FA,FA,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP65/67,UI-5480FA-M-GL
AB02329,GV-5480FA,FA,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP65/67,GV-5480FA-M-GL
AB.0010.1.37402.23,UI-5480SE,SE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-5480SE-M-GL Rev.2
AB02323,GV-5480SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,GV-5480SE-M-GL
AB00447,UI-5481LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5481LE-M
AB02213,UI-5481LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5481LE-M-MB
AB02324,GV-5481SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,GV-5481SE-M-GL
AB00449,UI-5482LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5482LE-M
AB02214,UI-5482LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5482LE-M-MB
AB02325,GV-5482SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,GV-5482SE-M
AB00468,UI-5484LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5484LE-M-GL
AB02215,UI-5484LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5484LE-M-GL-MB
UI-5490RE-C-HQ PoE Rev.2: AB00307UI-5490RE-M-GL PoE Rev.2: AB00308,UI-5490RE PoE,RE,GigE,CMOS,ON Semiconductor,6.1 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,IP65/67,UI-5490RE-C-HQ PoE Rev.2UI-5490RE-M-GL PoE Rev.2
UI-5490SE-C-HQ Rev.2: AB.0010.1.41902.24UI-5490SE-M-GL Rev.2: AB.0010.1.52802.23,UI-5490SE,SE,GigE,CMOS,ON Semiconductor,6.1 fps,3840 x 2748,6.413 mm x 4.589 mm,Rolling Shutter,"1/2""",10.55 MPix,1.7 µm,IP30,UI-5490SE-C-HQ Rev.2UI-5490SE-M-GL Rev.2
AB00311,UI-5540RE PoE,RE,GigE,CMOS,ON Semiconductor,35.5 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,IP65/67,UI-5540RE-M-GL PoE Rev.2
AB.0010.1.36902.23,UI-5540SE,SE,GigE,CMOS,ON Semiconductor,35.5 fps,1280 x 1024,6.656 mm x 5.325 mm,Rolling Shutter,"1/2""",1.31 MPix,5.2 µm,IP30,UI-5540SE-M-GL Rev.2
